ProviderName,BillingAccountId,BillingAccountName,BillingCurrency,BillingPeriodEnd,BillingPeriodStart,BilledCost,EffectiveCost,ListCost,ChargeCategory,ChargeFrequency,ChargePeriodEnd,ChargePeriodStart,ServiceName,ConsumedQuantity,ConsumedUnit,RegionName,ResourceId,ResourceName,SkuId,Tags,UsageType,ProductFamily
GitHub,org-CoreStack-Engg,CoreStack Engineering,USD      # ISO 4217 code  (built-in default: USD),2026-04-01T00:00:00Z,2026-03-01T00:00:00Z,0.612903216,0.612903216,0.612903216,Usage,Monthly,2026-03-01T23:59:59Z,2026-03-01T00:00:00Z,Copilot,0.032258064,user-months,global   # geographic region (built-in default: global),sureshc-cloud,CoreStack-Engg,copilot_for_business,"{""username"":""sureshc-cloud"",""organization"":""CoreStack-Engg""}",User Months,Developer Tools
GitHub,org-CoreStack-Engg,CoreStack Engineering,USD      # ISO 4217 code  (built-in default: USD),2026-04-01T00:00:00Z,2026-03-01T00:00:00Z,0.612903216,0.612903216,0.612903216,Usage,Monthly,2026-03-01T23:59:59Z,2026-03-01T00:00:00Z,Copilot,0.032258064,user-months,global   # geographic region (built-in default: global),ramasamy-corestack,CoreStack-Engg,copilot_for_business,"{""username"":""ramasamy-corestack"",""organization"":""CoreStack-Engg""}",User Months,Developer Tools
GitHub,org-CoreStack-Engg,CoreStack Engineering,USD      # ISO 4217 code  (built-in default: USD),2026-04-01T00:00:00Z,2026-03-01T00:00:00Z,0.612903216,0.612903216,0.612903216,Usage,Monthly,2026-03-01T23:59:59Z,2026-03-01T00:00:00Z,Copilot,0.032258064,user-months,global   # geographic region (built-in default: global),vyshnavipasapula,CoreStack-Engg,copilot_for_business,"{""username"":""vyshnavipasapula"",""organization"":""CoreStack-Engg""}",User Months,Developer Tools
GitHub,org-CoreStack-Engg,CoreStack Engineering,USD      # ISO 4217 code  (built-in default: USD),2026-04-01T00:00:00Z,2026-03-01T00:00:00Z,0.612903216,0.612903216,0.612903216,Usage,Monthly,2026-03-01T23:59:59Z,2026-03-01T00:00:00Z,Copilot,0.032258064,user-months,global   # geographic region (built-in default: global),Zamruthbegum25,CoreStack-Engg,copilot_for_business,"{""username"":""Zamruthbegum25"",""organization"":""CoreStack-Engg""}",User Months,Developer Tools
GitHub,org-CoreStack-Engg,CoreStack Engineering,USD      # ISO 4217 code  (built-in default: USD),2026-04-01T00:00:00Z,2026-03-01T00:00:00Z,0.612903216,0.612903216,0.612903216,Usage,Monthly,2026-03-01T23:59:59Z,2026-03-01T00:00:00Z,Copilot,0.032258064,user-months,global   # geographic region (built-in default: global),zubairhussainDE,CoreStack-Engg,copilot_for_business,"{""username"":""zubairhussainDE"",""organization"":""CoreStack-Engg""}",User Months,Developer Tools
GitHub,org-CoreStack-Engg,CoreStack Engineering,USD      # ISO 4217 code  (built-in default: USD),2026-04-01T00:00:00Z,2026-03-01T00:00:00Z,0.612903216,0.612903216,0.612903216,Usage,Monthly,2026-03-01T23:59:59Z,2026-03-01T00:00:00Z,Copilot,0.032258064,user-months,global   # geographic region (built-in default: global),Santhoshh7,CoreStack-Engg,copilot_for_business,"{""username"":""Santhoshh7"",""organization"":""CoreStack-Engg""}",User Months,Developer Tools
GitHub,org-CoreStack-Engg,CoreStack Engineering,USD      # ISO 4217 code  (built-in default: USD),2026-04-01T00:00:00Z,2026-03-01T00:00:00Z,0.612903216,0.612903216,0.612903216,Usage,Monthly,2026-03-01T23:59:59Z,2026-03-01T00:00:00Z,Copilot,0.032258064,user-months,global   # geographic region (built-in default: global),dineshchandmaddi,CoreStack-Engg,copilot_for_business,"{""username"":""dineshchandmaddi"",""organization"":""CoreStack-Engg""}",User Months,Developer Tools
GitHub,org-CoreStack-Engg,CoreStack Engineering,USD      # ISO 4217 code  (built-in default: USD),2026-04-01T00:00:00Z,2026-03-01T00:00:00Z,0.612903216,0.612903216,0.612903216,Usage,Monthly,2026-03-01T23:59:59Z,2026-03-01T00:00:00Z,Copilot,0.032258064,user-months,global   # geographic region (built-in default: global),VelanS-CS,CoreStack-Engg,copilot_for_business,"{""username"":""VelanS-CS"",""organization"":""CoreStack-Engg""}",User Months,Developer Tools
GitHub,org-CoreStack-Engg,CoreStack Engineering,USD      # ISO 4217 code  (built-in default: USD),2026-04-01T00:00:00Z,2026-03-01T00:00:00Z,0.612903216,0.612903216,0.612903216,Usage,Monthly,2026-03-01T23:59:59Z,2026-03-01T00:00:00Z,Copilot,0.032258064,user-months,global   # geographic region (built-in default: global),praveenvisvacorestack,CoreStack-Engg,copilot_for_business,"{""username"":""praveenvisvacorestack"",""organization"":""CoreStack-Engg""}",User Months,Developer Tools
GitHub,org-CoreStack-Engg,CoreStack Engineering,USD      # ISO 4217 code  (built-in default: USD),2026-04-01T00:00:00Z,2026-03-01T00:00:00Z,0.612903216,0.612903216,0.612903216,Usage,Monthly,2026-03-01T23:59:59Z,2026-03-01T00:00:00Z,Copilot,0.032258064,user-months,global   # geographic region (built-in default: global),sujai-r-1991,CoreStack-Engg,copilot_for_business,"{""username"":""sujai-r-1991"",""organization"":""CoreStack-Engg""}",User Months,Developer Tools
GitHub,org-CoreStack-Engg,CoreStack Engineering,USD      # ISO 4217 code  (built-in default: USD),2026-04-01T00:00:00Z,2026-03-01T00:00:00Z,0.612903216,0.612903216,0.612903216,Usage,Monthly,2026-03-01T23:59:59Z,2026-03-01T00:00:00Z,Copilot,0.032258064,user-months,global   # geographic region (built-in default: global),Allwin-saj,CoreStack-Engg,copilot_for_business,"{""username"":""Allwin-saj"",""organization"":""CoreStack-Engg""}",User Months,Developer Tools
GitHub,org-CoreStack-Engg,CoreStack Engineering,USD      # ISO 4217 code  (built-in default: USD),2026-04-01T00:00:00Z,2026-03-01T00:00:00Z,0.612903216,0.612903216,0.612903216,Usage,Monthly,2026-03-01T23:59:59Z,2026-03-01T00:00:00Z,Copilot,0.032258064,user-months,global   # geographic region (built-in default: global),Snegha14,CoreStack-Engg,copilot_for_business,"{""username"":""Snegha14"",""organization"":""CoreStack-Engg""}",User Months,Developer Tools
GitHub,org-CoreStack-Engg,CoreStack Engineering,USD      # ISO 4217 code  (built-in default: USD),2026-04-01T00:00:00Z,2026-03-01T00:00:00Z,0.612903216,0.612903216,0.612903216,Usage,Monthly,2026-03-01T23:59:59Z,2026-03-01T00:00:00Z,Copilot,0.032258064,user-months,global   # geographic region (built-in default: global),KavinRajCorestack,CoreStack-Engg,copilot_for_business,"{""username"":""KavinRajCorestack"",""organization"":""CoreStack-Engg""}",User Months,Developer Tools
GitHub,org-CoreStack-Engg,CoreStack Engineering,USD      # ISO 4217 code  (built-in default: USD),2026-04-01T00:00:00Z,2026-03-01T00:00:00Z,0.612903216,0.612903216,0.612903216,Usage,Monthly,2026-03-01T23:59:59Z,2026-03-01T00:00:00Z,Copilot,0.032258064,user-months,global   # geographic region (built-in default: global),KathirS-dev,CoreStack-Engg,copilot_for_business,"{""username"":""KathirS-dev"",""organization"":""CoreStack-Engg""}",User Months,Developer Tools
GitHub,org-CoreStack-Engg,CoreStack Engineering,USD      # ISO 4217 code  (built-in default: USD),2026-04-01T00:00:00Z,2026-03-01T00:00:00Z,0.612903216,0.612903216,0.612903216,Usage,Monthly,2026-03-01T23:59:59Z,2026-03-01T00:00:00Z,Copilot,0.032258064,user-months,global   # geographic region (built-in default: global),Deepachandran22,CoreStack-Engg,copilot_for_business,"{""username"":""Deepachandran22"",""organization"":""CoreStack-Engg""}",User Months,Developer Tools
GitHub,org-CoreStack-Engg,CoreStack Engineering,USD      # ISO 4217 code  (built-in default: USD),2026-04-01T00:00:00Z,2026-03-01T00:00:00Z,0.612903216,0.612903216,0.612903216,Usage,Monthly,2026-03-01T23:59:59Z,2026-03-01T00:00:00Z,Copilot,0.032258064,user-months,global   # geographic region (built-in default: global),balan-ukkirapandian,CoreStack-Engg,copilot_for_business,"{""username"":""balan-ukkirapandian"",""organization"":""CoreStack-Engg""}",User Months,Developer Tools
GitHub,org-CoreStack-Engg,CoreStack Engineering,USD      # ISO 4217 code  (built-in default: USD),2026-04-01T00:00:00Z,2026-03-01T00:00:00Z,0.612903216,0.612903216,0.612903216,Usage,Monthly,2026-03-01T23:59:59Z,2026-03-01T00:00:00Z,Copilot,0.032258064,user-months,global   # geographic region (built-in default: global),boobathi101,CoreStack-Engg,copilot_for_business,"{""username"":""boobathi101"",""organization"":""CoreStack-Engg""}",User Months,Developer Tools
GitHub,org-CoreStack-Engg,CoreStack Engineering,USD      # ISO 4217 code  (built-in default: USD),2026-04-01T00:00:00Z,2026-03-01T00:00:00Z,0.612903216,0.612903216,0.612903216,Usage,Monthly,2026-03-01T23:59:59Z,2026-03-01T00:00:00Z,Copilot,0.032258064,user-months,global   # geographic region (built-in default: global),ajeesh-git,CoreStack-Engg,copilot_for_business,"{""username"":""ajeesh-git"",""organization"":""CoreStack-Engg""}",User Months,Developer Tools
