"date","product","sku","quantity","unit_type","applied_cost_per_quantity","gross_amount","discount_amount","net_amount","username","organization","repository","workflow_path","cost_center_name"
"2026-03-02","copilot","copilot_for_business","0.032258064","user-months","19","0.612903216","0","0.612903216","SivaVenkatSK","CoreStack-Engg","","",""
"2026-03-02","copilot","copilot_for_business","0.032258064","user-months","19","0.612903216","0","0.612903216","praveenvisvacorestack","CoreStack-Engg","","",""
"2026-03-02","copilot","copilot_for_business","0.032258064","user-months","19","0.612903216","0","0.612903216","KavinRajCorestack","CoreStack-Engg","","",""
"2026-03-02","copilot","copilot_for_business","0.032258064","user-months","19","0.612903216","0","0.612903216","sujai-r-1991","CoreStack-Engg","","",""
"2026-03-02","copilot","copilot_for_business","0.032258064","user-months","19","0.612903216","0","0.612903216","Kajalsinghcorestack","CoreStack-Engg","","",""
"2026-03-02","copilot","copilot_for_business","0.032258064","user-months","19","0.612903216","0","0.612903216","Manoj-Fork","CoreStack-Engg","","",""
"2026-03-02","copilot","copilot_for_business","0.032258064","user-months","19","0.612903216","0","0.612903216","sneham0615","CoreStack-Engg","","",""
"2026-03-02","copilot","copilot_for_business","0.032258064","user-months","19","0.612903216","0","0.612903216","vamsiyerra3797","CoreStack-Engg","","",""
"2026-03-02","copilot","copilot_for_business","0.032258064","user-months","19","0.612903216","0","0.612903216","Allwin-saj","CoreStack-Engg","","",""
"2026-03-02","copilot","copilot_for_business","0.032258064","user-months","19","0.612903216","0","0.612903216","Avinash-Naidu","CoreStack-Engg","","",""
"2026-03-02","copilot","copilot_for_business","0.032258064","user-months","19","0.612903216","0","0.612903216","Snegha14","CoreStack-Engg","","",""
"2026-03-02","copilot","copilot_for_business","0.032258064","user-months","19","0.612903216","0","0.612903216","bikash2056","CoreStack-Engg","","",""
"2026-03-02","copilot","copilot_for_business","0.032258064","user-months","19","0.612903216","0","0.612903216","cs-doug","CoreStack-Engg","","",""
"2026-03-02","copilot","copilot_for_business","0.032258064","user-months","19","0.612903216","0","0.612903216","kaviya2005-dot","CoreStack-Engg","","",""
"2026-03-02","copilot","copilot_for_business","0.032258064","user-months","19","0.612903216","0","0.612903216","SaranyaJeyakumar","CoreStack-Engg","","",""
"2026-03-02","copilot","copilot_for_business","0.032258064","user-months","19","0.612903216","0","0.612903216","ramya-c2","CoreStack-Engg","","",""
"2026-03-02","copilot","copilot_for_business","0.032258064","user-months","19","0.612903216","0","0.612903216","KathirS-dev","CoreStack-Engg","","",""
"2026-03-02","copilot","copilot_for_business","0.032258064","user-months","19","0.612903216","0","0.612903216","vigneshwaranCorestack","CoreStack-Engg","","",""
"2026-03-02","copilot","copilot_for_business","0.032258064","user-months","19","0.612903216","0","0.612903216","Deepachandran22","CoreStack-Engg","","",""
"2026-03-02","copilot","copilot_for_business","0.032258064","user-months","19","0.612903216","0","0.612903216","balan-ukkirapandian","CoreStack-Engg","","",""
"2026-03-02","copilot","copilot_for_business","0.032258064","user-months","19","0.612903216","0","0.612903216","Archana25800","CoreStack-Engg","","",""
"2026-03-02","copilot","copilot_for_business","0.032258064","user-months","19","0.612903216","0","0.612903216","AkashCorestack","CoreStack-Engg","","",""
"2026-03-02","copilot","copilot_for_business","0.032258064","user-months","19","0.612903216","0","0.612903216","alec-greiwe","CoreStack-Engg","","",""
"2026-03-02","copilot","copilot_for_business","0.032258064","user-months","19","0.612903216","0","0.612903216","boobathi101","CoreStack-Engg","","",""
"2026-03-02","copilot","copilot_for_business","0.032258064","user-months","19","0.612903216","0","0.612903216","ajeesh-git","CoreStack-Engg","","",""
"2026-03-02","copilot","copilot_for_business","0.032258064","user-months","19","0.612903216","0","0.612903216","Mahalakshmi0103","CoreStack-Engg","","",""
"2026-03-02","copilot","copilot_for_business","0.032258064","user-months","19","0.612903216","0","0.612903216","uday-csio","CoreStack-Engg","","",""
"2026-03-02","copilot","copilot_for_business","0.032258064","user-months","19","0.612903216","0","0.612903216","compliance-user","CoreStack-Engg","","",""
"2026-03-02","copilot","copilot_for_business","0.032258064","user-months","19","0.612903216","0","0.612903216","ogvinoth","CoreStack-Engg","","",""
"2026-03-02","copilot","copilot_for_business","0.032258064","user-months","19","0.612903216","0","0.612903216","SRIDHAR-CORESTACK","CoreStack-Engg","","",""
"2026-03-02","copilot","copilot_for_business","0.032258064","user-months","19","0.612903216","0","0.612903216","Chitraj-2025","CoreStack-Engg","","",""
"2026-03-02","copilot","copilot_for_business","0.032258064","user-months","19","0.612903216","0","0.612903216","sureshc-cloud","CoreStack-Engg","","",""
"2026-03-02","copilot","copilot_for_business","0.032258064","user-months","19","0.612903216","0","0.612903216","ramasamy-corestack","CoreStack-Engg","","",""
"2026-03-02","copilot","copilot_for_business","0.032258064","user-months","19","0.612903216","0","0.612903216","kavi-yarasi","CoreStack-Engg","","",""
"2026-03-02","copilot","copilot_for_business","0.032258064","user-months","19","0.612903216","0","0.612903216","vyshnavipasapula","CoreStack-Engg","","",""
"2026-03-02","copilot","copilot_for_business","0.032258064","user-months","19","0.612903216","0","0.612903216","gvg-cs","CoreStack-Engg","","",""
"2026-03-02","copilot","copilot_for_business","0.032258064","user-months","19","0.612903216","0","0.612903216","bandarujayendra","CoreStack-Engg","","",""
"2026-03-02","copilot","copilot_for_business","0.032258064","user-months","19","0.612903216","0","0.612903216","Viggy5399","CoreStack-Engg","","",""
"2026-03-02","copilot","copilot_for_business","0.032258064","user-months","19","0.612903216","0","0.612903216","KarthikeyaniS","CoreStack-Engg","","",""
"2026-03-02","copilot","copilot_for_business","0.032258064","user-months","19","0.612903216","0","0.612903216","vishveshCoreStack","CoreStack-Engg","","",""
"2026-03-02","copilot","copilot_for_business","0.032258064","user-months","19","0.612903216","0","0.612903216","jayaprakashr-corestack","CoreStack-Engg","","",""
"2026-03-02","copilot","copilot_for_business","0.032258064","user-months","19","0.612903216","0","0.612903216","seshanb","CoreStack-Engg","","",""
"2026-03-02","copilot","copilot_for_business","0.032258064","user-months","19","0.612903216","0","0.612903216","manik1563","CoreStack-Engg","","",""
"2026-03-02","copilot","copilot_for_business","0.032258064","user-months","19","0.612903216","0","0.612903216","naveenkumarkalusulingamcs","CoreStack-Engg","","",""
"2026-03-02","copilot","copilot_for_business","0.032258064","user-months","19","0.612903216","0","0.612903216","gayathri-qa05","CoreStack-Engg","","",""
"2026-03-02","copilot","copilot_for_business","0.032258064","user-months","19","0.612903216","0","0.612903216","NithinRam07","CoreStack-Engg","","",""
